name,phone,email,website,rating,reviews,address,official_name,company_number,sic_codes
Surrey Heating Specialists,,,,5.0,611.0,"54a Church Rd, Ashford TW15 2TS, United Kingdom",,,
R P L Plumbing & Heating Ltd,,,,5.0,47.0,"96 Aldrich Cres, New Addington, Croydon CR0 0NN, United Kingdom",,,
Hackney Heating,,,,4.7,273.0,"231 Well St, London E9 6RG, United Kingdom",,,
Plumr,,,,4.9,108.0,"15 Birchwood Ave, Hackbridge, Wallington SM6 7EN, United Kingdom",,,
Boilergurus,,,,5.0,155.0,"50 Selwood Rd, Old Woking, Woking GU22 9HT, United Kingdom",,,
The Boiler Dude,,,,5.0,162.0,"2, Acacia House, Douglas Rd, London N22 5RS, United Kingdom",,,
PlumbingForce,,,,4.3,329.0,"Unit 1, 3 Court Farm Rd, Tithepit Shaw Ln, Warlingham CR6 9AT, United Kingdom",,,
Aquaheat,,,,4.8,69.0,"19 Terrapin Rd, London SW17 8QN, United Kingdom",,,
Master Heating Services Ltd,,,,5.0,12.0,"21 Woodroyd Gardens, Horley RH6 7LP, United Kingdom",,,
We Fit Boilers LTD,,,,5.0,18.0,"180 Hither Green Ln, London SE13 6QB, United Kingdom",,,
FIRST Plumbing & Heating-UK Ltd.,,,,4.8,45.0,"Unit 12C, Bridge Industrial Estate, Balcombe Rd, Horley RH6 9HU, United Kingdom",,,
CS Gas & Mechanical Services Ltd,,,,5.0,30.0,"Keston Ave, Coulsdon CR5 1HP, United Kingdom",,,
Gas Engineer,,,,5.0,1.0,"390 Coldharbour Ln, London SW9 8LF, United Kingdom",,,
PSP & Gas Engineering,,,,4.7,29.0,"9 Reservoir Cl, Thornton Heath CR7 8FA, United Kingdom",,,
Gas Engineer,,,,5.0,1.0,"5 George St, Croydon CR0 1LA, United Kingdom",,,
Gas Engineers,,,,5.0,1.0,"257 Hammersmith Rd, London W6 8AZ, United Kingdom",,,
SM Gas & Plumbing Solutions LTD,,,,4.9,39.0,"32 Bakers Gardens, Carshalton SM5 2SF, United Kingdom",,,
Technigas,,,,5.0,3.0,"9 The Heath, Chaldon, Caterham CR3 5DJ, United Kingdom",,,
Gas Engineer,,,,1.0,1.0,"8 Sistova Rd, London SW12 9QT, United Kingdom",,,
Limpsfield Gas Engineering,,,,5.0,1.0,"7 Red Lane Cottages/Red La, Oxted RH8 0RU, United Kingdom",,,
Gas & Heating Direct,,,,4.8,76.0,"120 Tartar Rd, Cobham KT11 2AT, United Kingdom",,,
DL Gas & Maintenance Ltd,,,,5.0,68.0,"Marsalis House, 131 Rainhill Way, Bow, London E3 3EF, United Kingdom",,,
Gas Tec Solutions,,,,5.0,86.0,"13 Hayes St, Bromley BR2 7LE, United Kingdom",,,
Corbett Gas,,,,4.9,60.0,"183 Torridon Rd, London SE6 1RG, United Kingdom",,,
Gas and Electric Services (UK),,,,1.0,2.0,"17 Dumville Dr, Godstone RH9 8NY, United Kingdom",,,
Street 2 Street Gas Services,,,,5.0,53.0,"110 Tennison Rd, London SE25 5NE, United Kingdom",,,
Coulsdon Boiler Repair & Gas Engineers,,,,,,"320a Chipstead Valley Rd, Coulsdon CR5 3BP, United Kingdom",,,
Gas services,,,,4.0,1.0,"14 Parsons Mead, Croydon CR0 3SL, United Kingdom",,,
RJL Gas Ltd,,,,5.0,63.0,"62 Ewell Park Way, Ewell, Epsom KT17 2NW, United Kingdom",,,
M25 GAS SAFETY ENGINEERS LTD,,,,4.7,38.0,"Sanders House, Barrow Rd, London SW16 5NN, United Kingdom",,,
UltraGas Heating Ltd,,,,5.0,14.0,"38 Albert Rd, Warlingham CR6 9EP, United Kingdom",,,
Kew Gas,,,,4.9,92.0,"Flat 38, William Banfield House, Munster Rd, London SW6 4EX, United Kingdom",,,
